Geneid	GeneSymbol	Chromosome	Start	End	Class	Strand	Length
ENSMUSG00000102693.1	 4933401J01Rik	chr1	3073253	3074322	 TEC	+	1069
ENSMUSG00000064842.1	 Gm26206	chr1	3102016	3102125	 snRNA	+	109
ENSMUSG00000051951.5	 Xkr4	chr1	3205901	3671498	 protein_coding	-	465597
ENSMUSG00000102851.1	 Gm18956	chr1	3252757	3253236	 processed_pseudogene	+	479
ENSMUSG00000103377.1	 Gm37180	chr1	3365731	3368549	 TEC	-	2818
ENSMUSG00000104017.1	 Gm37363	chr1	3375556	3377788	 TEC	-	2232
ENSMUSG00000103025.1	 Gm37686	chr1	3464977	3467285	 TEC	-	2308
ENSMUSG00000089699.1	 Gm1992	chr1	3466587	3513553	 lncRNA	+	46966
ENSMUSG00000103201.1	 Gm37329	chr1	3512451	3514507	 TEC	-	2056
ENSMUSG00000103147.1	 Gm7341	chr1	3531795	3532720	 processed_pseudogene	+	925
ENSMUSG00000103161.1	 Gm38148	chr1	3592892	3595903	 TEC	-	3011
ENSMUSG00000102331.1	 Gm19938	chr1	3647309	3658904	 lncRNA	-	11595
ENSMUSG00000102348.1	 Gm10568	chr1	3680155	3681788	 TEC	+	1633
ENSMUSG00000102592.1	 Gm38385	chr1	3752010	3754360	 TEC	+	2350
ENSMUSG00000088333.2	 Gm27396	chr1	3783876	3783933	 snRNA	-	57
ENSMUSG00000102343.1	 Gm37381	chr1	3905739	3986215	 lncRNA	-	80476
ENSMUSG00000025900.12	 Rp1	chr1	3999557	4409241	 protein_coding	-	409684
ENSMUSG00000102948.1	 Gm6101	chr1	4256234	4260519	 processed_pseudogene	-	4285
ENSMUSG00000104123.1	 Gm37483	chr1	4363346	4364829	 TEC	-	1483
ENSMUSG00000025902.13	 Sox17	chr1	4490931	4497354	 protein_coding	-	6423
ENSMUSG00000104238.1	 Gm37587	chr1	4496551	4499558	 lncRNA	+	3007
ENSMUSG00000102269.1	 Gm7357	chr1	4522905	4526737	 processed_pseudogene	+	3832
ENSMUSG00000096126.1	 Gm22307	chr1	4529017	4529123	 snRNA	+	106
ENSMUSG00000103003.1	 Gm38076	chr1	4534837	4535286	 processed_pseudogene	-	449
ENSMUSG00000104328.1	 Gm37323	chr1	4583129	4586252	 lncRNA	-	3123
ENSMUSG00000102735.1	 Gm7369	chr1	4610471	4611406	 processed_pseudogene	+	935
ENSMUSG00000098104.1	 Gm6085	chr1	4687934	4689403	 processed_pseudogene	-	1469
ENSMUSG00000102175.1	 Gm6119	chr1	4692219	4693424	 processed_pseudogene	-	1205
ENSMUSG00000088000.1	 Gm25493	chr1	4723277	4723379	 snRNA	-	102
ENSMUSG00000103265.1	 Gm2053	chr1	4735046	4735676	 processed_pseudogene	-	630
ENSMUSG00000103922.1	 Gm6123	chr1	4771131	4772199	 processed_pseudogene	+	1068
ENSMUSG00000033845.13	 Mrpl15	chr1	4773206	4785739	 protein_coding	-	12533
ENSMUSG00000102275.1	 Gm37144	chr1	4778063	4779212	 TEC	-	1149
ENSMUSG00000025903.14	 Lypla1	chr1	4807788	4848410	 protein_coding	+	40622
ENSMUSG00000104217.1	 Gm37988	chr1	4807892	4886770	 protein_coding	+	78878
ENSMUSG00000033813.15	 Tcea1	chr1	4857814	4897909	 protein_coding	+	40095
ENSMUSG00000062588.4	 Gm6104	chr1	4880049	4880651	 processed_pseudogene	-	602
ENSMUSG00000103280.1	 Gm37277	chr1	4905751	4906861	 TEC	-	1110
ENSMUSG00000002459.17	 Rgs20	chr1	4909576	5070285	 protein_coding	-	160709
ENSMUSG00000091305.1	 Gm17100	chr1	4927028	4927299	 processed_pseudogene	-	271
ENSMUSG00000102653.1	 Gm37079	chr1	4938576	4940710	 TEC	-	2134
ENSMUSG00000085623.1	 Gm16041	chr1	4970857	4976820	 lncRNA	+	5963
ENSMUSG00000091665.1	 Gm17101	chr1	5063060	5064647	 processed_pseudogene	+	1587
ENSMUSG00000033793.12	 Atp6v1h	chr1	5070018	5162529	 protein_coding	+	92511
ENSMUSG00000104352.1	 Gm7182	chr1	5276106	5277337	 processed_pseudogene	-	1231
ENSMUSG00000104046.1	 Gm37567	chr1	5307739	5310017	 TEC	+	2278
ENSMUSG00000102907.1	 Gm38264	chr1	5403547	5405578	 TEC	+	2031
ENSMUSG00000025905.13	 Oprk1	chr1	5588466	5606131	 protein_coding	+	17665
ENSMUSG00000103936.1	 Gm36965	chr1	5617837	5618230	 processed_pseudogene	-	393
ENSMUSG00000093015.1	 Gm22463	chr1	5644645	5644745	 miRNA	-	100
ENSMUSG00000103519.1	 Gm37429	chr1	5842874	5844672	 TEC	-	1798
ENSMUSG00000033774.4	 Npbwr1	chr1	5913707	5917398	 protein_coding	-	3691
ENSMUSG00000103090.1	 Gm19214	chr1	6048963	6050045	 processed_pseudogene	-	1082
ENSMUSG00000025907.14	 Rb1cc1	chr1	6206197	6276648	 protein_coding	+	70451
ENSMUSG00000090031.2	 4732440D04Rik	chr1	6209866	6215293	 lncRNA	-	5427
ENSMUSG00000087247.3	 Alkal1	chr1	6359218	6394731	 protein_coding	+	35513
ENSMUSG00000103355.1	 Gm2147	chr1	6380394	6381032	 processed_pseudogene	+	638
ENSMUSG00000102706.1	 Gm7417	chr1	6382634	6383106	 processed_pseudogene	-	472
ENSMUSG00000103845.1	 Gm19026	chr1	6429655	6441296	 processed_pseudogene	-	11641
ENSMUSG00000033740.17	 St18	chr1	6487231	6860940	 protein_coding	+	373709
ENSMUSG00000103329.2	 Gm42492	chr1	6861237	6864151	 TEC	-	2914
ENSMUSG00000104385.1	 Gm7449	chr1	6910560	6911222	 processed_pseudogene	+	662
ENSMUSG00000102135.1	 Gm37108	chr1	6916559	6923588	 processed_pseudogene	+	7029
ENSMUSG00000103282.1	 Gm37275	chr1	6929759	6929788	 processed_pseudogene	+	29
ENSMUSG00000102534.1	 Gm37225	chr1	6998217	6998541	 processed_pseudogene	+	324
ENSMUSG00000102213.1	 Gm37489	chr1	7013762	7013920	 processed_pseudogene	+	158
ENSMUSG00000103629.1	 Gm5694	chr1	7035915	7037217	 processed_pseudogene	+	1302
ENSMUSG00000051285.17	 Pcmtd1	chr1	7088920	7173628	 protein_coding	+	84708
ENSMUSG00000098201.1	 Gm26983	chr1	7136199	7136586	 processed_pseudogene	-	387
ENSMUSG00000103509.1	 Gm38372	chr1	7148110	7152137	 TEC	+	4027
ENSMUSG00000048538.7	 Gm9826	chr1	7177739	7179037	 processed_pseudogene	+	1298
