"GeneSymbol","Class","GeneSymbolClass"
"4933401J01Rik","TEC","4933401J01Rik_TEC"
"Gm26206","snRNA","Gm26206_snRNA"
"Xkr4","protein_coding","Xkr4_protein_coding"
"Gm18956","processed_pseudogene","Gm18956_processed_pseudogene"
"Gm37180","TEC","Gm37180_TEC"
"Gm37363","TEC","Gm37363_TEC"
"Gm37686","TEC","Gm37686_TEC"
"Gm1992","lncRNA","Gm1992_lncRNA"
"Gm37329","TEC","Gm37329_TEC"
"Gm7341","processed_pseudogene","Gm7341_processed_pseudogene"
"Gm38148","TEC","Gm38148_TEC"
"Gm19938","lncRNA","Gm19938_lncRNA"
"Gm10568","TEC","Gm10568_TEC"
"Gm38385","TEC","Gm38385_TEC"
"Gm27396","snRNA","Gm27396_snRNA"
"Gm37381","lncRNA","Gm37381_lncRNA"
"Rp1","protein_coding","Rp1_protein_coding"
"Gm6101","processed_pseudogene","Gm6101_processed_pseudogene"
"Gm37483","TEC","Gm37483_TEC"
"Sox17","protein_coding","Sox17_protein_coding"
"Gm37587","lncRNA","Gm37587_lncRNA"
"Gm7357","processed_pseudogene","Gm7357_processed_pseudogene"
"Gm22307","snRNA","Gm22307_snRNA"
"Gm38076","processed_pseudogene","Gm38076_processed_pseudogene"
"Gm37323","lncRNA","Gm37323_lncRNA"
"Gm7369","processed_pseudogene","Gm7369_processed_pseudogene"
"Gm6085","processed_pseudogene","Gm6085_processed_pseudogene"
"Gm6119","processed_pseudogene","Gm6119_processed_pseudogene"
"Gm25493","snRNA","Gm25493_snRNA"
"Gm2053","processed_pseudogene","Gm2053_processed_pseudogene"
"Gm6123","processed_pseudogene","Gm6123_processed_pseudogene"
"Mrpl15","protein_coding","Mrpl15_protein_coding"
"Gm37144","TEC","Gm37144_TEC"
"Lypla1","protein_coding","Lypla1_protein_coding"
"Gm37988","protein_coding","Gm37988_protein_coding"
"Tcea1","protein_coding","Tcea1_protein_coding"
"Gm6104","processed_pseudogene","Gm6104_processed_pseudogene"
"Gm37277","TEC","Gm37277_TEC"
"Rgs20","protein_coding","Rgs20_protein_coding"
"Gm17100","processed_pseudogene","Gm17100_processed_pseudogene"
"Gm37079","TEC","Gm37079_TEC"
"Gm16041","lncRNA","Gm16041_lncRNA"
"Gm17101","processed_pseudogene","Gm17101_processed_pseudogene"
"Atp6v1h","protein_coding","Atp6v1h_protein_coding"
"Gm7182","processed_pseudogene","Gm7182_processed_pseudogene"
"Gm37567","TEC","Gm37567_TEC"
"Gm38264","TEC","Gm38264_TEC"
"Oprk1","protein_coding","Oprk1_protein_coding"
"Gm36965","processed_pseudogene","Gm36965_processed_pseudogene"
"Gm22463","miRNA","Gm22463_miRNA"
"Gm37429","TEC","Gm37429_TEC"
"Npbwr1","protein_coding","Npbwr1_protein_coding"
"Gm19214","processed_pseudogene","Gm19214_processed_pseudogene"
"Rb1cc1","protein_coding","Rb1cc1_protein_coding"
"4732440D04Rik","lncRNA","4732440D04Rik_lncRNA"
"Alkal1","protein_coding","Alkal1_protein_coding"
"Gm2147","processed_pseudogene","Gm2147_processed_pseudogene"
"Gm7417","processed_pseudogene","Gm7417_processed_pseudogene"
"Gm19026","processed_pseudogene","Gm19026_processed_pseudogene"
"St18","protein_coding","St18_protein_coding"
"Gm42492","TEC","Gm42492_TEC"
"Gm7449","processed_pseudogene","Gm7449_processed_pseudogene"
"Gm37108","processed_pseudogene","Gm37108_processed_pseudogene"
"Gm37275","processed_pseudogene","Gm37275_processed_pseudogene"
"Gm37225","processed_pseudogene","Gm37225_processed_pseudogene"
"Gm37489","processed_pseudogene","Gm37489_processed_pseudogene"
"Gm5694","processed_pseudogene","Gm5694_processed_pseudogene"
"Pcmtd1","protein_coding","Pcmtd1_protein_coding"
